id,paper,exam_round,year,question_number,variant,taxonomy_code,prompt_md,option_a,option_b,option_c,option_d,option_e,answer,explanation_md,question_type,source_ref,review_status,enabled,updated_at
mock-p2-r1-y107-q002,p2,1,107,2,,,有關布巾類的整理與準備，下列敘述何者不正確？,熨燙布巾的溫度應保持在 100°C\~120°C 之間,布巾沾到紅酒漬時，可以將鹽加入蘇打水中混合清洗,布巾沾到咖啡漬時，可以將水和硼砂以6：1 混合清洗,不可將檯布與口布拿來作清潔用途使用,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q2,needs-review,FALSE,
mock-p2-r1-y107-q023,p2,1,107,23,,,摺疊餐巾時，餐廳從業人員為求成品的外觀對稱、立體，對於每款餐巾都有不同的細節要求，試問，下列細節要求何者正確？,包葡萄酒瓶：口布推摺等份時，摺寬不一定要平均,蓮花座：成型的口布需保持弧度的立體感,步步高升：需將成型的口布壓平,天堂鳥：摺成任何三角形時，四層布的角需對齊,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q23,needs-review,FALSE,
mock-p2-r1-y107-q024,p2,1,107,24,,,有關檯心布鋪設的順序，下列何者正確？甲、檯心布開口摺邊朝自己，多摺向上乙、將最下方檯布拋出丙、雙手手指夾取第一、二層檯布丁、將檯心布左右撐開戊、將檯心布輕往後拉己、檢視四周下擺是否等齊,甲→乙→丙→丁→戊→己,甲→丁→丙→乙→戊→己,甲→乙→丁→丙→戊→己,甲→丁→乙→丙→戊→己,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q24,needs-review,FALSE,
mock-p2-r1-y107-q025,p2,1,107,25,,,有關各式托盤的使用原則與注意事項，下列敘述何者不正確？,圓托盤直徑以12\~14 吋規格較為普遍，在餐廳的使用率較高,長方形托盤尺寸約為5 吋到10 吋之間，適合運送較多量的餐具或菜餚,橢圓形托盤尺寸約為8吋到12吋，適用於高級餐廳、宴會或酒吧，主要用於端送飲料和食物,金屬托盤有亮麗的光澤，且表面不易留下指痕及刮痕,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q25,needs-review,FALSE,
mock-p2-r1-y107-q026,p2,1,107,26,,,當餐廳外場服務人員需要一次端送四個餐盤菜餚，送至顧客面前時，最有技巧性的端送方法為下列何者？,手腕式,手心式,挾盤式,以托盤運送,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q26,needs-review,FALSE,
mock-p2-r1-y107-q027,p2,1,107,27,,,為顧客收拾殘盤時，服務人員應遵守「三S 原則」，請問其操作步驟依序為下列何者？,Scrape→Stack→Separate,Scrape→Separate→Stack,Stack→Scrape→Separate,Stack→Separate→Scrape,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q27,needs-review,FALSE,
mock-p2-r1-y107-q028,p2,1,107,28,,,服務人員端送杯皿給顧客時，單手拿單杯時的拿法與注意事項，下列何者不正確？,持高腳杯時，手持杯腳不得觸碰杯身,持圓筒形高杯的中式茶杯時，以拇指、食指或中指握於杯緣外側,持有耳瓷杯時，以大拇指、食指及中指握住把手,持平底杯時，手持杯身下方的位置不得觸碰杯口,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q28,needs-review,FALSE,
mock-p2-r1-y107-q029,p2,1,107,29,,,餐廳服務人員上菜時應注意的事項，下列何者錯誤？,最佳上菜地帶為顧客的人中與胸部之間的位置,最佳服務地帶為顧客的肩膀與桌角之間的位置,優先服務女士，再服務男士,賓客中若有年長者與年輕者，優先服務年輕者,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q29,needs-review,FALSE,
mock-p2-r1-y107-q030,p2,1,107,30,,,下列何者不是餐桌佈置的衛生安全原則？,確保餐桌與餐椅的穩固與安全,餐桌上宜擺放鮮花以增加用餐氣氛,餐具應持光亮與潔淨,檯布與口布應保持乾淨並經常換洗,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q30,needs-review,FALSE,
mock-p2-r1-y107-q031,p2,1,107,31,,,有關中餐宴席餐桌佈置的步驟，下列何者正確？,架設餐桌→鋪設檯布→擺放轉檯→擺放餐巾→擺放餐具→擺放調味品及公用物品→擺放餐椅,架設餐桌→鋪設檯布→擺放轉檯→擺放餐具→擺放調味品及公用物品→擺放餐巾→擺放餐椅,架設餐桌→鋪設檯布→擺放轉檯→擺放餐具→擺放餐巾→擺放調味品及公用物品→擺放餐椅,架設餐桌→鋪設檯布→擺放轉檯→擺放餐具→擺放餐巾→擺放餐椅→擺放調味品及公用物品,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q31,needs-review,FALSE,
mock-p2-r1-y107-q032,p2,1,107,32,,,有關西餐餐具的擺設原則，下列何者錯誤？,點心叉與點心匙放於定位盤的兩側,刀、匙置於右側,餐具間保持0.5\~1 公分的距離,定位盤的左右，以不超過3 支餐具為原則,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q32,needs-review,FALSE,
mock-p2-r1-y107-q033,p2,1,107,33,,,顧客單點菜餚後，服務人員在桌上擺設口布、水杯、點心刀及點心叉，請問，此項單點菜餚最可能為下列何者？,Spaghetti,Banana,Caviar,"Mousse

## 第二部分：飲料與調酒",,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q33,needs-review,FALSE,
mock-p2-r1-y107-q034,p2,1,107,34,,,飲料是日常生活中可以飲用的液體，有關飲料的敘述，下列何者錯誤？,Alcoholic Beverages 皆屬於 Hard Drinks,Non-alcoholic Beverages 皆屬於 Soft Drinks,Frozen Drinks 的適合飲用溫度為 $5 { \sim } 1 2 ^ { \circ } \mathrm { C }$,Prepared Drinks 屬於現場調製飲料,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q34,needs-review,FALSE,
mock-p2-r1-y107-q035,p2,1,107,35,,,顧客點選一杯雞尾酒─「鹽狗」飲用，若配方為 30 ml 的伏特加(酒精濃度 80 proof)和 200 ml葡萄柚汁，請問該杯雞尾酒的酒精濃度最接近下列何者？,5.22%,7.83%,10.43%,13.04%,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q35,needs-review,FALSE,
mock-p2-r1-y107-q036,p2,1,107,36,,,臺灣第一家本土咖啡連鎖店─丹堤咖啡，於何時成立？,民國 80 年,民國 82 年,民國 86 年,民國 87 年,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q36,needs-review,FALSE,
mock-p2-r1-y107-q037,p2,1,107,37,,,依食品衛生管理法─飲料類衛生標準的規定，有容器或包裝的茶及可可飲料，咖啡因含量應不得超過多少？,20 PPM,320 PPM,500 PPM,無特別標示,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q37,needs-review,FALSE,
mock-p2-r1-y107-q038,p2,1,107,38,,,飲料店在臺灣遍布大街小巷，有關飲料店特性的說明，下列何者錯誤？,專業技術低,空間選擇性高,銷售頻率高,投資成本高,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q38,needs-review,FALSE,
mock-p2-r1-y107-q039,p2,1,107,39,,,氣溫和雨量是茶樹生長的重要條件，有關茶樹適合生長的環境，下列敘述何者不正確？,海拔約 600\~1500 公尺的山坡地,年雨量約 1500\~3000 公釐,年均溫約 18\~25°C,相對溼度 65%左右,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q39,needs-review,FALSE,
mock-p2-r1-y107-q040,p2,1,107,40,,,紅茶的飲用蔚為風潮，有關世界上各國產製紅茶的說明，下列何者正確？,肯亞紅茶種植在沿著赤道的海拔高原，味道濃郁甘醇,Uva紅茶的單寧含量少，口感平順，適合調製水果茶或奶茶,Assam 紅茶被喻為紅茶之王，有紅茶的香檳之稱,雲南省的滇紅紅茶，在歐洲被稱為中國茶的干邑白蘭地,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q40,needs-review,FALSE,
mock-p2-r1-y107-q041,p2,1,107,41,,,製作茶葉的過程中，「使茶葉轉動相互摩擦，造成芽葉部分組織細胞破壞，汁液流出黏附在芽葉表面」，屬於下列哪一項製程？,萎凋,殺菁,揉捻,發酵,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q41,needs-review,FALSE,
mock-p2-r1-y107-q042,p2,1,107,42,,,下列哪一種茶葉的製程為:「茶菁→日光萎凋→室內萎凋及攪拌→炒菁→揉捻→乾燥→精製」？,白毫烏龍茶,碧螺春,紅茶,普洱茶,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q42,needs-review,FALSE,
mock-p2-r1-y107-q043,p2,1,107,43,,,臺灣的地理環境及氣候非常適合茶樹生長，下列哪種茶葉不屬於臺灣西半部製造的茶葉？,海山龍井茶,長安茶,雲頂茶,太峰高山茶,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q43,needs-review,FALSE,
mock-p2-r1-y107-q044,p2,1,107,44,,,茶具有特殊香氣與甘美滋味，有關茶葉成分的敘述，下列何者不正確？,茶鹼具有提神醒腦和利尿的功能,茶葉中單寧酸的含量佔40%,胺基酸是構成茶滋味的主要因素之一,茶中含有豐富礦物質，屬於鹼性食物,,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q44,needs-review,FALSE,
mock-p2-r1-y107-q045,p2,1,107,45,,,茶葉發酵是指茶菁內的酵素作用，而茶葉發酵程度對茶湯的影響，下列何者錯誤？,,,,,,B,,essay,117-1專二試題\auto\117-1專二試題.md#q45,needs-review,FALSE,
mock-p2-r1-y107-q046,p2,1,107,46,,,茶葉的外形及鬆緊程度會決定茶葉沖泡時的用量，下列哪種茶葉在茶壼內置放的用量需最多？,凍頂茶,水仙,文山包種茶,龍井茶,,C,,single-choice,117-1專二試題\auto\117-1專二試題.md#q46,needs-review,FALSE,
mock-p2-r1-y107-q047,p2,1,107,47,,,茶葉依發酵程度及外形等因素決定其沖泡溫度，下列哪一種沖泡溫度最低？,碧螺春,鐵觀音,白毫烏龍茶,紅茶,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q47,needs-review,FALSE,
mock-p2-r1-y107-q048,p2,1,107,48,,,各種品茗用茶具中，具有賞茶與置茶功能的茶用具為下列何者？,茶盅,茶則,茶匙,茶荷,,D,,single-choice,117-1專二試題\auto\117-1專二試題.md#q48,needs-review,FALSE,
mock-p2-r1-y107-q049,p2,1,107,49,,,品茗是用心體會，再加上嗅覺、視覺、味覺的多重感受，有關品茗的順序，下列敘述何者正確？,聞其香→觀其色→品其味→察其底,察其底→聞其香→品其味→觀其色,聞其香→觀其色→察其底→品其味,觀其色→察其底→聞其香→品其味,,A,,single-choice,117-1專二試題\auto\117-1專二試題.md#q49,needs-review,FALSE,
mock-p2-r1-y107-q050,p2,1,107,50,,,冷泡茶是以冰水長時間浸泡茶葉而成，請問以綠茶進行冷泡茶時需要多久時間？,2 小時,4 小時,12 小時,"16 小時

【以下空白】",,B,,single-choice,117-1專二試題\auto\117-1專二試題.md#q50,needs-review,FALSE,
